platform_id,time_delta_hours,contact_freq_7d,new_account_flag,graph_distance,phase,victim_id,label
2,0.2267,26,0,1,1,7,1
1,6.4806,13,0,0,1,1,1
2,40.1905,1,0,0,1,7,0
2,65.6815,7,0,1,1,3,0
0,75.0539,2,0,0,1,2,0
2,2.4743,22,0,0,1,7,1
2,1.5331,19,0,0,1,7,1
0,103.0737,5,0,1,1,2,0
1,0.4895,22,0,1,1,1,1
3,43.8187,7,0,0,1,9,0
0,0.8582,25,0,0,1,0,1
0,62.373,4,0,0,1,3,0
0,30.833,6,0,0,1,8,0
1,2.5031,19,0,1,1,1,1
2,0.4612,19,0,1,1,7,1
2,42.1031,6,0,0,1,7,0
3,5.8401,10,0,1,1,9,1
0,1.2725,27,0,0,1,0,1
3,1.096,27,0,0,1,6,1
0,23.0318,6,0,0,1,8,0
3,72.3451,6,0,1,1,9,0
3,62.2328,7,0,0,1,9,0
2,7.9206,8,1,0,1,5,1
2,23.7576,3,0,0,1,7,0
1,63.4607,8,0,0,1,1,0
3,78.195,7,0,1,1,9,0
3,2.4362,23,0,0,1,9,1
2,53.0466,4,0,0,1,4,0
0,81.3883,1,0,1,1,2,0
3,1.727,24,0,0,1,6,1
3,55.3016,8,0,0,1,9,0
3,0.1332,17,0,1,1,6,1
0,10.3239,4,0,1,1,8,0
2,67.9591,5,0,1,1,3,0
0,1.6928,30,0,0,1,0,1
3,1.1246,18,0,0,1,6,1
0,0.1495,23,0,0,1,8,1
1,2.7907,8,0,0,1,1,1
2,1.1692,33,0,1,1,4,1
1,1.7616,25,1,1,1,1,1
1,32.7601,5,0,0,1,7,0
1,1.1456,25,0,0,1,1,1
3,79.8183,6,0,0,1,9,0
2,1.2816,24,1,0,1,3,1
0,43.3564,5,1,0,1,0,0
1,3.2781,25,0,1,1,1,1
0,59.881,6,0,0,1,0,0
0,50.5688,7,0,0,1,0,0
0,2.9685,23,0,0,1,8,1
0,2.6143,25,0,1,1,0,1
1,65.8373,7,0,0,1,1,0
2,85.6862,7,0,0,1,3,0
0,77.0164,3,0,1,1,2,0
0,9.9675,12,0,1,1,8,1
2,48.6481,5,0,1,1,3,0
1,36.478,6,0,0,1,1,0
0,0.6592,20,0,0,1,2,1
0,52.8323,6,0,0,1,0,0
2,52.7182,1,0,0,1,4,0
1,59.1919,6,0,1,1,1,0
1,37.9638,8,0,0,1,9,0
2,75.8125,6,0,0,1,5,0
3,3.7435,7,1,0,1,6,1
3,1.8468,21,0,0,1,9,1
1,7.9968,13,1,0,1,1,1
0,65.9548,5,0,1,1,0,0
3,22.825,6,0,1,1,9,0
0,1.3221,31,0,0,1,0,1
2,0.4568,20,0,0,1,4,1
2,5.8515,4,0,0,1,7,0
